epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2631,2.18445,3.83689,2.07626,0.00475,0.43919,0.11548,0.05399,1.9183,3.83522,1.79349,0.00011669,0.00011669,0.00011669
2,112.635,1.9225,3.17743,1.75936,0.00609,0.5698,0.25801,0.11654,1.82785,3.46584,1.49982,0.000225295,0.000225295,0.000225295
3,156.924,1.8956,2.54878,1.59348,0.00726,0.69963,0.30227,0.12484,1.82078,3.39296,1.42962,0.000307495,0.000307495,0.000307495
4,201.051,1.71821,2.38357,1.41792,0.00686,0.65891,0.30339,0.14425,1.85569,3.32132,1.42262,0.000363289,0.000363289,0.000363289
5,245.435,1.78645,2.26915,1.49773,0.9159,0.12167,0.28983,0.13358,1.8143,3.30307,1.49953,0.000392679,0.000392679,0.000392679
6,290.816,1.7141,2.18702,1.48998,0.91597,0.04064,0.22981,0.10313,1.78133,3.34863,1.58877,0.000395662,0.000395662,0.000395662
7,334.764,1.70427,2.08336,1.48823,0.41942,0.2877,0.27687,0.13404,1.77815,3.24097,1.51032,0.000372241,0.000372241,0.000372241
8,378.354,1.67711,1.9833,1.45664,0.37778,0.07377,0.24604,0.11872,1.82129,3.17318,1.52068,0.000322414,0.000322414,0.000322414
9,422.408,1.60997,1.92443,1.41105,0.75178,0.24537,0.38438,0.16586,1.85028,2.86027,1.44746,0.000246183,0.000246183,0.000246183
10,465.838,1.54458,1.85297,1.34911,0.76256,0.29974,0.43186,0.18836,1.85043,2.73118,1.44652,0.000143545,0.000143545,0.000143545
