epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0994,2.18444,3.83689,2.07626,0.00475,0.43919,0.11548,0.05399,1.9183,3.83522,1.79347,0.00011669,0.00011669,0.00011669
2,92.1584,1.92237,3.17734,1.7591,0.00609,0.5698,0.2566,0.11769,1.82817,3.46566,1.49986,0.000225295,0.000225295,0.000225295
3,134.189,1.89568,2.54937,1.5927,0.00727,0.69963,0.30186,0.12916,1.83109,3.39435,1.42846,0.000307495,0.000307495,0.000307495
4,176.731,1.72743,2.40328,1.42457,0.00725,0.71549,0.32121,0.14584,1.87747,3.30838,1.44595,0.000363289,0.000363289,0.000363289
5,215.493,1.79285,2.28074,1.49561,0.88654,0.13964,0.2972,0.13466,1.84055,3.28167,1.48823,0.000392679,0.000392679,0.000392679
6,254.268,1.70909,2.16053,1.49619,0.97394,0.04098,0.24152,0.11333,1.81333,3.31403,1.58568,0.000395662,0.000395662,0.000395662
7,293.097,1.69428,2.10508,1.48515,0.8875,0.08484,0.26224,0.12328,1.82568,3.18917,1.53497,0.000372241,0.000372241,0.000372241
8,330.957,1.65022,2.00914,1.44671,0.38031,0.11475,0.30319,0.1385,1.82204,3.06402,1.48976,0.000322414,0.000322414,0.000322414
9,371.101,1.59185,1.94349,1.3975,0.59539,0.29512,0.38723,0.17549,1.81635,2.84477,1.41948,0.000246183,0.000246183,0.000246183
10,412.407,1.54555,1.85477,1.33725,0.60271,0.32388,0.43572,0.19595,1.7966,2.69414,1.39686,0.000143545,0.000143545,0.000143545
